"","Day","Month","Year","Waterbody","Site","Sex","CW","Color","Barnacles","YearClass","TrapType","X","X.1","age_march","age_feb","sex_int"
"406",29,5,2020,"Drayton Harbor","Prospecting - Pillars","Male",42,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"407",29,5,2020,"Drayton Harbor","Prospecting - Pillars","Male",45,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"408",29,5,2020,"Drayton Harbor","Index - DC - Mouth","Male",54,"Yellow","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"409",4,6,2020,"Drayton Harbor","Core - Pillars","Female",49,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"410",4,6,2020,"Drayton Harbor","Core - Pillars","Female",48,"Red/Orange","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"411",4,6,2020,"Drayton Harbor","Core - Pillars","Male",54,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"412",4,6,2020,"Drayton Harbor","Core - Pillars","Male",51,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,2
"413",4,6,2020,"Drayton Harbor","Core - Pillars","Male",53,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,2
"414",4,6,2020,"Drayton Harbor","Core - Pillars","Female",50,"Light-Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"415",4,6,2020,"Drayton Harbor","Core - Pillars","Male",57,"Green","Yes",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"416",4,6,2020,"Drayton Harbor","Core - Pillars","Male",45,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,2
"417",4,6,2020,"Drayton Harbor","Core - Pillars","Male",65,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"418",9,6,2020,"Drayton Harbor","Core - Pillars","Male",56,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"419",9,6,2020,"Drayton Harbor","Core - Pillars","Female",56.5,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"420",9,6,2020,"Drayton Harbor","Core - Pillars","Female",53,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"421",9,6,2020,"Drayton Harbor","Core - Pillars","Female",53,"Green/Dark-Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"422",9,6,2020,"Drayton Harbor","Core - Pillars","Female",71,"Dark-Green","No",2018,"Fukui",NA,NA,2.33333333333333,2.33333333333333,1
"423",9,6,2020,"Drayton Harbor","Core - Pillars","Male",66,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"424",9,6,2020,"Drayton Harbor","Core - Pillars","Male",63,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"425",9,6,2020,"Drayton Harbor","Core - Pillars","Male",58,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"426",9,6,2020,"Drayton Harbor","Core - Pillars","Female",53,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"427",10,6,2020,"Drayton Harbor","Core - Pillars","Male",59,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"428",10,6,2020,"Drayton Harbor","Core - Pillars","Male",63,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"429",10,6,2020,"Drayton Harbor","Core - California Creek","Male",50,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"430",11,6,2020,"Drayton Harbor","Core - Pillars","Female",49,"Red/Orange","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"431",11,6,2020,"Drayton Harbor","Core - Pillars","Female",53,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"432",11,6,2020,"Drayton Harbor","Core - Pillars","Male",57,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"433",11,6,2020,"Drayton Harbor","Core - Pillars","Female",50,"Light-Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"434",12,6,2020,"Drayton Harbor","Core - Pillars","Male",48,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"435",18,6,2020,"Drayton Harbor","Core - Pillars","Female",49,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"436",18,6,2020,"Drayton Harbor","Core - Pillars","Female",55,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"437",18,6,2020,"Drayton Harbor","Core - Pillars","Female",57,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"438",18,6,2020,"Drayton Harbor","Core - Pillars","Male",65,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"439",18,6,2020,"Drayton Harbor","Core - Pillars","Female",62,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"440",18,6,2020,"Drayton Harbor","Core - Pillars","Male",60.5,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"441",18,6,2020,"Drayton Harbor","Core - Pillars","Male",65,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,2
"442",18,6,2020,"Drayton Harbor","Core - Pillars","Male",54,"Yellow","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,2
"443",23,6,2020,"Drayton Harbor","Core - Pillars","Female",51,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"444",23,6,2020,"Drayton Harbor","Core - Pillars","Male",53,"Yellow","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,2
"445",23,6,2020,"Drayton Harbor","Core - Pillars","Female",49.5,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"446",23,6,2020,"Drayton Harbor","Index - CC - Mouth","Female",50,"Green","No",2019,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"447",25,6,2020,"Drayton Harbor","Core - Pillars","Male",87,"Yellow","No",2018,"Fukui",NA,NA,2.33333333333333,2.33333333333333,2
"448",25,6,2020,"Drayton Harbor","Prospecting - Pillars","Female",49.5,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"449",26,6,2020,"Drayton Harbor","Core - Pillars","Male",49,"Green","No",2019,"Minnow",NA,NA,1.33333333333333,1.33333333333333,2
"450",7,7,2020,"Drayton Harbor","Prospecting - Pillars","Female",58,"Green","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,1
"451",7,7,2020,"Drayton Harbor","Core - California Creek","Male",57,"Yellow","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,2
"452",9,7,2020,"Drayton Harbor","Core - Pillars","Female",48,"Orange","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,1
"453",9,7,2020,"Drayton Harbor","Prospecting - Pillars","Male",56.5,"Light-Orange","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,2
"454",15,7,2020,"Drayton Harbor","Core - Pillars","Female",51,"Green","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,1
"455",15,7,2020,"Drayton Harbor","Core - Pillars","Female",62,"Green","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,1
"456",21,7,2020,"Drayton Harbor","Index - DC - Mouth","Male",64,"Red/Orange","Yes",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,2
"457",23,7,2020,"Drayton Harbor","Core - California Creek","Female",56.5,"Yellow","No",2019,"Fukui",NA,NA,1.44444444444444,1.41666666666667,1
"458",24,7,2020,"Drayton Harbor","Core - California Creek","Female",60,"Yellow","No",2019,"Hand",NA,NA,1.44444444444444,1.41666666666667,1
"459",24,7,2020,"Drayton Harbor","Core - California Creek","Male",65,"Green","No",2019,"Hand",NA,NA,1.44444444444444,1.41666666666667,2
"460",4,8,2020,"Drayton Harbor","Core - Pillars","Male",75,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"461",4,8,2020,"Drayton Harbor","Core - Pillars","Male",61,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"462",4,8,2020,"Drayton Harbor","Core - Pillars","Male",69,"Yellow","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"463",4,8,2020,"Drayton Harbor","Core - Pillars","Male",57,"Yellow","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"464",5,8,2020,"Drayton Harbor","Core - Pillars","Male",71,"Yellow","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"465",6,8,2020,"Drayton Harbor","Core - Pillars","Female",58,"Green","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,1
"466",6,8,2020,"Drayton Harbor","Core - Pillars","Male",56,"Yellow","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"467",7,8,2020,"Drayton Harbor","Core - Pillars","Female",53,"Light-Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,1
"468",14,8,2020,"Drayton Harbor","Core - Pillars","Male",59.5,"Orange","Yes",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"469",14,8,2020,"Drayton Harbor","Core - Pillars","Male",57,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"470",14,8,2020,"Drayton Harbor","Core - Pillars","Male",63,"Yellow","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"471",14,8,2020,"Drayton Harbor","Core - Pillars","Male",71,"Green","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"472",18,8,2020,"Drayton Harbor","Core - Pillars","Male",75,"Light-Green","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"473",18,8,2020,"Drayton Harbor","Core - California Creek","Male",32,"Green","No",2020,"Fukui",NA,NA,0.555555555555556,0.5,2
"474",18,8,2020,"Drayton Harbor","Core - California Creek","Male",62,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"475",19,8,2020,"Drayton Harbor","Core - Pillars","Male",72.5,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"476",19,8,2020,"Drayton Harbor","Index - DC - Mouth","Female",76,"Green","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,1
"477",20,8,2020,"Drayton Harbor","Core - Pillars","Male",81,"Red/Orange","Yes",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"478",21,8,2020,"Drayton Harbor","Core - Pillars","Male",71,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"479",21,8,2020,"Drayton Harbor","Prospecting - Pillars","Female",56,"Green","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,1
"480",28,8,2020,"Drayton Harbor","Core - Pillars","Male",63,"Orange","No",2019,"Fukui",NA,NA,1.55555555555556,1.5,2
"481",1,9,2020,"Drayton Harbor","Core - Pillars","Female",53,"Red/Orange","No",2019,"Minnow",NA,NA,1.66666666666667,1.58333333333333,1
"482",1,9,2020,"Drayton Harbor","Core - Pillars","Female",67.5,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"483",1,9,2020,"Drayton Harbor","Core - Pillars","Female",61,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"484",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",36,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"485",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"486",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",67,"Orange","Yes",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"487",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",76,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"488",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",70,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"489",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",74,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"490",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",65,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"491",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",62,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"492",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",58.5,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"493",1,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",72.5,"Red","Yes",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"494",2,9,2020,"Drayton Harbor","Core - California Creek","Male",40.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"495",2,9,2020,"Drayton Harbor","Core - California Creek","Female",36,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"496",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",74,"Red/Orange","Yes",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"497",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",64,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"498",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",58,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"499",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",69,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"500",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"501",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",61,"Light-Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"502",2,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",63,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"503",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",32.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"504",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"505",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",58,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"506",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",33,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"507",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",44,"Light-Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"508",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",39,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"509",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",71,"Red","Yes",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"510",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",59,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"511",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",33,"Light-Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"512",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",41.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"513",3,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",36.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"514",15,9,2020,"Drayton Harbor","Core - Pillars","Male",31,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"515",15,9,2020,"Drayton Harbor","Core - Pillars","Male",30.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"516",15,9,2020,"Drayton Harbor","Core - Pillars","Male",34,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"517",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",69,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"518",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",61.5,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"519",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",33,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"520",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"521",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",70.5,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"522",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",81,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"523",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",65,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"524",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",70,"Yellow","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"525",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",68,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"526",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",66,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"527",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",41.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"528",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",63,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"529",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",77,"Light-Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"530",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",64,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"531",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",68,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"532",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",72,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"533",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",42,"Yellow","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"534",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",40.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"535",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",42,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"536",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",39,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"537",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",44,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"538",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",60,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"539",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",62,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"540",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",68.5,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"541",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",33,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"542",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"543",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",41.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"544",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",47,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"545",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",43,"Yellow","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"546",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",34,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"547",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",71,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"548",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",63,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"549",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",69,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"550",15,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",67,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"551",15,9,2020,"Drayton Harbor","Core - California Creek","Female",43.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"552",15,9,2020,"Drayton Harbor","Core - California Creek","Male",41,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"553",15,9,2020,"Drayton Harbor","Core - California Creek","Female",39,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"554",15,9,2020,"Drayton Harbor","Core - California Creek","Female",32,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"555",16,9,2020,"Drayton Harbor","Index - DC - Mouth","Female",40.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"556",16,9,2020,"Drayton Harbor","Index - DC - Mouth","Male",41.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"557",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",61,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"558",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"559",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",39,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"560",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",68,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"561",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",65,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"562",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",37,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"563",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",53.5,"Red/Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"564",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",44,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"565",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",42,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"566",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",43,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"567",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Male",67,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"568",16,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",65,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"569",16,9,2020,"Drayton Harbor","Index - CC - Graveyard","Male",37,"Yellow","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"570",16,9,2020,"Drayton Harbor","Index - CC - Bridge Way","Male",42,"Light-Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"571",16,9,2020,"Drayton Harbor","Index - CC - Bridge Way","Female",45,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"572",29,9,2020,"Drayton Harbor","Core - Pillars","Female",61,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"573",29,9,2020,"Drayton Harbor","Core - Pillars","Female",37.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"574",29,9,2020,"Drayton Harbor","Core - Pillars","Female",32,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"575",29,9,2020,"Drayton Harbor","Core - Pillars","Male",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"576",29,9,2020,"Drayton Harbor","Core - Pillars","Female",35.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"577",29,9,2020,"Drayton Harbor","Core - Pillars","Female",61.5,"Green","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,1
"578",29,9,2020,"Drayton Harbor","Core - California Creek","Male",70,"Orange","No",2019,"Fukui",NA,NA,1.66666666666667,1.58333333333333,2
"579",29,9,2020,"Drayton Harbor","Core - California Creek","Male",48.5,"Yellow","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,2
"580",29,9,2020,"Drayton Harbor","Core - California Creek","Female",37.5,"Green","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"581",29,9,2020,"Drayton Harbor","Prospecting - California Creek","Female",44,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"582",29,9,2020,"Drayton Harbor","Prospecting - California Creek","Female",48,"Light-Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"583",30,9,2020,"Drayton Harbor","Core - Pillars","Female",27.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"584",30,9,2020,"Drayton Harbor","Core - Pillars","Male",42,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"585",30,9,2020,"Drayton Harbor","Prospecting - Dakota Creek","Female",50.5,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"586",30,9,2020,"Drayton Harbor","Prospecting - California Creek","Male",41,"Green","No",2020,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"587",30,9,2020,"Drayton Harbor","Core - California Creek","Female",28,"Yellow","No",2020,"Fukui",NA,NA,0.666666666666667,0.583333333333333,1
"588",13,10,2020,"Drayton Harbor","Index - CC - Bridge Way","Female",50,"Light-Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,1
"589",13,10,2020,"Drayton Harbor","Core - Jetty","Male",38,"Green","No",2020,"Fukui",NA,NA,0.777777777777778,0.666666666666667,2
